nCells,dpi.g,abs.lfc,prop_ix.DE1only,prop_ix.DE2only,prop_ix.DE1_DE2
250,0.1,1,0.6416019044958683,0.6345230458033608,0.22575447787901093
250,0.1,2,0.6392825062558375,0.633596790684252,0.24209238163704286
250,0.1,4,0.6618712266043538,0.6356252114414148,0.2519788391754137
250,0.1,8,0.6714455685730163,0.6563338389686881,0.24895855813660006
250,0.2,1,0.648171440022155,0.6398405218073766,0.2262242802393587
250,0.2,2,0.6450848485654876,0.6257710794765163,0.2265871538716117
250,0.2,4,0.6635331694933149,0.6502523308623966,0.23520867328570874
250,0.2,8,0.6843095808281661,0.6654320788989949,0.2294952110692913
250,0.3,1,0.6555828260035489,0.6360430313433979,0.21121234740527364
250,0.3,2,0.6449338904900809,0.6315801225701955,0.22344945193786028
250,0.3,4,0.658678132162002,0.6414277059531687,0.23608094675995045
250,0.3,8,0.6749876856984623,0.6573980114038354,0.23756820095239972
250,0.4,1,0.6438545516990051,0.6494794095820999,0.21284676198528876
250,0.4,2,0.6586166155925217,0.6390580651091173,0.20254895519926946
250,0.4,4,0.6573214869765616,0.6401242637040749,0.2396672289152504
250,0.4,8,0.6738157626864795,0.6669456494270413,0.24218652374813235
500,0.1,1,0.6416019044958683,0.6345230458033608,0.22575447787901093
500,0.1,2,0.6392825062558375,0.633596790684252,0.24209238163704286
500,0.1,4,0.6618712266043538,0.6356252114414148,0.2519788391754137
500,0.1,8,0.6714455685730163,0.6563338389686881,0.24895855813660006
500,0.2,1,0.648171440022155,0.6398405218073766,0.2262242802393587
500,0.2,2,0.6450848485654876,0.6257710794765163,0.2265871538716117
500,0.2,4,0.6635331694933149,0.6502523308623966,0.23520867328570874
500,0.2,8,0.6843095808281661,0.6654320788989949,0.2294952110692913
500,0.3,1,0.6555828260035489,0.6360430313433979,0.21121234740527364
500,0.3,2,0.6449338904900809,0.6315801225701955,0.22344945193786028
500,0.3,4,0.658678132162002,0.6414277059531687,0.23608094675995045
500,0.3,8,0.6749876856984623,0.6573980114038354,0.23756820095239972
500,0.4,1,0.6438545516990051,0.6494794095820999,0.21284676198528876
500,0.4,2,0.6586166155925217,0.6390580651091173,0.20254895519926946
500,0.4,4,0.6573214869765616,0.6401242637040749,0.2396672289152504
500,0.4,8,0.6738157626864795,0.6669456494270413,0.24218652374813235
1000,0.1,1,0.6287195883565302,0.2357087862008731,0.1355716254425967
1000,0.1,2,0.617831581525838,0.26351029065789405,0.11865812781626797
1000,0.1,4,0.6288713348523511,0.27986366151364617,0.09126500363400274
1000,0.1,8,0.6488101481904589,0.27025202717455254,0.08093782463498858
1000,0.2,1,0.6353160962506129,0.23372117859621416,0.13096272515317292
1000,0.2,2,0.6178318570262736,0.2575792561795122,0.1245888867942141
1000,0.2,4,0.6236724836015182,0.26594365503103823,0.11038386136744353
1000,0.2,8,0.6515981808101587,0.26430623840164447,0.08409558078819679
1000,0.3,1,0.6282751482733333,0.2372244551762577,0.13450039655040893
1000,0.3,2,0.6259915387573274,0.23794113399794137,0.13606732724473125
1000,0.3,4,0.6277539622082147,0.27481241965510217,0.09743361813668314
1000,0.3,8,0.6566841278733035,0.2699425791437956,0.07337329298290073
1000,0.4,1,0.6273743940333808,0.23310998949683842,0.13951561646978075
1000,0.4,2,0.6297086871391963,0.24666202586031402,0.12362928700048968
1000,0.4,4,0.6324848934764401,0.2529782660392712,0.11453684048428867
1000,0.4,8,0.6464694592982081,0.27041916901151625,0.08311137169027565
2000,0.1,1,0.6300738639512491,0.2406422079414822,0.12928392810726871
2000,0.1,2,0.6223481443624915,0.26268245888357944,0.114969396753929
2000,0.1,4,0.614240714864663,0.28779349403821497,0.097965791097122
2000,0.1,8,0.6329047365803809,0.28208773021702693,0.08500753320259213
2000,0.2,1,0.6294363397146215,0.2308718862958512,0.13969177398952726
2000,0.2,2,0.6147422645434099,0.2573533137008288,0.12790442175576133
2000,0.2,4,0.6317695274451753,0.2749311908617182,0.09329928169310642
2000,0.2,8,0.6519621878125683,0.27656052504873263,0.07147728713869902
2000,0.3,1,0.627512029739522,0.240288408841509,0.13219956141896894
2000,0.3,2,0.6166255157366574,0.2518134558529285,0.13156102841041412
2000,0.3,4,0.6180313045937107,0.26529060913428637,0.11667808627200288
2000,0.3,8,0.6485886533414407,0.27665033748678375,0.07476100917177557
2000,0.4,1,0.6299628090553457,0.23345656302364162,0.13658062792101267
2000,0.4,2,0.6220699889729168,0.24561034248245286,0.1323196685446304
2000,0.4,4,0.624316564084398,0.2608180878277651,0.114865348087837
2000,0.4,8,0.6354741780492008,0.2878362309772258,0.07668959097357342
